"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso";"Lesão corporal seguida de morte";"02/2018";0
"Mato Grosso";"Roubo a instituição financeira";"02/2018";1
"Mato Grosso";"Roubo de carga";"02/2018";0
"Mato Grosso";"Roubo de veículo";"02/2018";170
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"02/2018";1
"Mato Grosso";"Tentativa de homicídio";"02/2018";84
"Mato Grosso";"Estupro";"03/2018";134
"Mato Grosso";"Furto de veículo";"03/2018";204
"Mato Grosso";"Homicídio doloso";"03/2018";81
"Mato Grosso";"Lesão corporal seguida de morte";"03/2018";0
"Mato Grosso";"Roubo a instituição financeira";"03/2018";0
"Mato Grosso";"Roubo de carga";"03/2018";1
"Mato Grosso";"Roubo de veículo";"03/2018";225
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"03/2018";2
"Mato Grosso";"Tentativa de homicídio";"03/2018";86
"Mato Grosso";"Estupro";"04/2018";147
"Mato Grosso";"Furto de veículo";"04/2018";209
"Mato Grosso";"Homicídio doloso";"04/2018";79
"Mato Grosso";"Lesão corporal seguida de morte";"04/2018";0
"Mato Grosso";"Roubo a instituição financeira";"04/2018";0
"Mato Grosso";"Roubo de carga";"04/2018";1
"Mato Grosso";"Roubo de veículo";"04/2018";189
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"04/2018";2
"Mato Grosso";"Tentativa de homicídio";"04/2018";130
"Mato Grosso";"Estupro";"05/2018";153
"Mato Grosso";"Furto de veículo";"05/2018";200
"Mato Grosso";"Homicídio doloso";"05/2018";92
"Mato Grosso";"Lesão corporal seguida de morte";"05/2018";3
"Mato Grosso";"Roubo a instituição financeira";"05/2018";1
"Mato Grosso";"Roubo de carga";"05/2018";0
"Mato Grosso";"Roubo de veículo";"05/2018";203
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"05/2018";3
"Mato Grosso";"Tentativa de homicídio";"05/2018";114
"Mato Grosso";"Estupro";"06/2018";124
"Mato Grosso";"Furto de veículo";"06/2018";207
"Mato Grosso";"Homicídio doloso";"06/2018";74
"Mato Grosso";"Lesão corporal seguida de morte";"06/2018";2
"Mato Grosso";"Roubo a instituição financeira";"06/2018";0
"Mato Grosso";"Roubo de carga";"06/2018";3
"Mato Grosso";"Roubo de veículo";"06/2018";179
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"06/2018";0
"Mato Grosso";"Tentativa de homicídio";"06/2018";81
"Mato Grosso";"Estupro";"07/2018";156
"Mato Grosso";"Furto de veículo";"07/2018";190
"Mato Grosso";"Homicídio doloso";"07/2018";49
"Mato Grosso";"Lesão corporal seguida de morte";"07/2018";1
"Mato Grosso";"Roubo a instituição financeira";"07/2018";0
"Mato Grosso";"Roubo de carga";"07/2018";0
"Mato Grosso";"Roubo de veículo";"07/2018";137
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"07/2018";3
"Mato Grosso";"Tentativa de homicídio";"07/2018";84
"Mato Grosso";"Estupro";"08/2018";171
"Mato Grosso";"Furto de veículo";"08/2018";224
"Mato Grosso";"Homicídio doloso";"08/2018";71
"Mato Grosso";"Lesão corporal seguida de morte";"08/2018";1
"Mato Grosso";"Roubo a instituição financeira";"08/2018";2
"Mato Grosso";"Roubo de carga";"08/2018";2
"Mato Grosso";"Roubo de veículo";"08/2018";187
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"08/2018";7
"Mato Grosso";"Tentativa de homicídio";"08/2018";106
"Mato Grosso";"Estupro";"09/2018";151
"Mato Grosso";"Furto de veículo";"09/2018";187
"Mato Grosso";"Homicídio doloso";"09/2018";95
"Mato Grosso";"Lesão corporal seguida de morte";"09/2018";4
"Mato Grosso";"Roubo a instituição financeira";"09/2018";2
"Mato Grosso";"Roubo de carga";"09/2018";1
"Mato Grosso";"Roubo de veículo";"09/2018";179
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"09/2018";3
"Mato Grosso";"Tentativa de homicídio";"09/2018";112
"Mato Grosso";"Estupro";"10/2018";174
"Mato Grosso";"Furto de veículo";"10/2018";203
"Mato Grosso";"Homicídio doloso";"10/2018";97
"Mato Grosso";"Lesão corporal seguida de morte";"10/2018";9
"Mato Grosso";"Roubo a instituição financeira";"10/2018";0
"Mato Grosso";"Roubo de carga";"10/2018";4
"Mato Grosso";"Roubo de veículo";"10/2018";214
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"10/2018";4
"Mato Grosso";"Tentativa de homicídio";"10/2018";123
"Mato Grosso";"Estupro";"11/2018";101
"Mato Grosso";"Furto de veículo";"11/2018";189
"Mato Grosso";"Homicídio doloso";"11/2018";54
"Mato Grosso";"Lesão corporal seguida de morte";"11/2018";2
"Mato Grosso";"Roubo a instituição financeira";"11/2018";1
"Mato Grosso";"Roubo de carga";"11/2018";5
"Mato Grosso";"Roubo de veículo";"11/2018";0
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"11/2018";4
"Mato Grosso";"Tentativa de homicídio";"11/2018";104
"Mato Grosso";"Estupro";"12/2018";109
"Mato Grosso";"Furto de veículo";"12/2018";201
"Mato Grosso";"Homicídio doloso";"12/2018";77
"Mato Grosso";"Lesão corporal seguida de morte";"12/2018";1
"Mato Grosso";"Roubo a instituição financeira";"12/2018";1
"Mato Grosso";"Roubo de carga";"12/2018";1
"Mato Grosso";"Roubo de veículo";"12/2018";0
"Mato Grosso";"Roubo seguido de morte (latrocínio)";"12/2018";3
"Mato Grosso";"Tentativa de homicídio";"12/2018";104
